timestamp_s,market_id,token_id,best_bid,best_ask,orderbook_mid,spread,depth_usd,bids,asks,source,quality_stale,quality_partial,metadata,decision_count,target_side,target_notional_usd,decision_reason,order_id,order_status,fill_qty,fill_avg_price,fill_notional_usd,current_position_side,current_position_size,cash,equity,realized_pnl,unrealized_pnl,fees_paid,slippage_paid,drawdown
1772700022.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,gen-1-1,filled,172.19113215669393,0.58075,100.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700079.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700139.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700199.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700259.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700321.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700380.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700452.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700499.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700570.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700622.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700680.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700739.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700800.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700860.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700920.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772700979.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701039.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701100.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701160.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701222.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701280.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701339.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701402.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701465.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701520.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701579.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701640.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701700.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701760.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,YES,100.0,real_case_enter,,,0.0,0.0,0.0,YES,172.19113215669393,9899.0,9997.019801980197,0.0,-1.9801980198020033,1.0,0.9900990099009958,0.00029801980198026286
1772701822.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,FLAT,0.0,real_case_exit,gen-31-1,filled,172.19113215669393,0.5692499999999999,98.019801980198,,0.0,9996.039603960397,9996.039603960397,-2.9603960396039715,0.0,1.9801980198019797,1.9801980198019915,0.0003960396039603438
1772701879.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,FLAT,0.0,real_case_exit,,,0.0,0.0,0.0,,0.0,9996.039603960397,9996.039603960397,-2.9603960396039715,0.0,1.9801980198019797,1.9801980198019915,0.0003960396039603438
1772701941.0,51939490109676186832507970701169130490548061087912630009168726706475001411420,51939490109676186832507970701169130490548061087912630009168726706475001411420,0.5692499999999999,0.58075,0.575,0.011500000000000066,2000.0,"[{'price': 0.5692499999999999, 'size': 1756.697408871322}]","[{'price': 0.58075, 'size': 1721.9113215669393}]",clob_price_history,False,True,"{'synthetic': True, 'synthetic_spread_bps': 200.0}",1,FLAT,0.0,real_case_exit,,,0.0,0.0,0.0,,0.0,9996.039603960397,9996.039603960397,-2.9603960396039715,0.0,1.9801980198019797,1.9801980198019915,0.0003960396039603438
